,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
302,301,Transportation & Logistics Management,Bachelors,"$57,600","$93,000",48%
303,304,Financial Accounting,Bachelors,"$56,100","$92,900",51%
304,305,Cell & Molecular Biology,Bachelors,"$51,900","$92,800",68%
305,305,Industrial Safety,Bachelors,"$55,200","$92,800",78%
306,305,Insurance,Bachelors,"$56,000","$92,800",43%
307,305,Manufacturing Management,Bachelors,"$64,000","$92,800",49%
308,305,Networks & Telecommunications,Bachelors,"$54,300","$92,800",56%
309,310,Labor Studies,Bachelors,"$46,600","$92,600",49%
310,310,Digital Media Design,Bachelors,"$46,700","$92,600",31%
311,310,Advertising & Marketing Communications,Bachelors,"$48,300","$92,600",36%
312,313,Cinema Studies,Bachelors,"$47,900","$92,500",33%
313,313,Electronic & Computer Technology,Bachelors,"$63,800","$92,500",58%
314,313,Marketing Communication,Bachelors,"$45,700","$92,500",39%
315,316,Construction Technology,Bachelors,"$59,100","$92,400",-
316,317,Architecture,Bachelors,"$51,000","$92,300",53%
317,318,Applied Statistics,Bachelors,"$65,900","$92,200",47%
318,319,Biological Sciences,Bachelors,"$49,300","$92,100",66%
319,319,Food Science,Bachelors,"$52,500","$92,100",51%
320,319,Urban & Regional Planning,Bachelors,"$51,800","$92,100",60%
321,322,Marketing Management,Bachelors,"$51,300","$92,000",42%
322,323,Computer & Network Administration,Bachelors,"$56,800","$91,900",47%
323,324,Applied Computer Science,Bachelors,"$66,100","$91,800",44%
324,325,Sales,Bachelors,"$61,500","$91,600",44%
325,326,Environmental Design,Bachelors,"$47,700","$91,400",55%
326,326,Hotel Management,Bachelors,"$49,100","$91,400",44%
327,328,Advertising Design,Bachelors,"$52,700","$91,300",28%
328,328,Digital Arts,Bachelors,"$45,600","$91,300",35%
329,328,Financial Management,Bachelors,"$54,300","$91,300",54%
330,331,Electronic Systems Technology (EST),Bachelors,"$81,000","$91,200",-
331,332,Italian Language,Bachelors,"$51,400","$91,100",43%
332,333,German Studies,Bachelors,"$50,000","$91,000",42%
333,334,Quality Management,Bachelors,"$57,400","$90,800",60%
334,335,Microbiology,Bachelors,"$48,400","$90,300",68%
335,335,Entrepreneurship,Bachelors,"$54,800","$90,300",47%
336,337,Interactive Media,Bachelors,"$52,700","$90,200",35%
337,337,Global Business Management,Bachelors,"$55,900","$90,200",52%
338,337,Network Systems Administration,Bachelors,"$57,900","$90,200",50%
339,337,Police Science,Bachelors,"$55,400","$90,200",-
340,341,Hydrology,Bachelors,"$48,700","$90,100",-
341,342,Business Data Analysis,Bachelors,"$64,700","$90,000",36%
342,342,Database Management,Bachelors,"$65,900","$90,000",-
343,342,Spanish Literature,Bachelors,"$51,100","$90,000",50%
344,345,Business Technology,Bachelors,"$52,800","$89,900",42%
345,346,Business Management & Marketing,Bachelors,"$48,900","$89,800",48%
346,347,Technical Management,Bachelors,"$64,400","$89,700",62%
347,348,Human Biology,Bachelors,"$51,100","$89,600",70%
348,349,Meteorology,Bachelors,"$46,200","$89,500",57%
349,350,Computer Graphics Technology (CGT),Bachelors,"$49,000","$89,200",40%
350,350,Urban Planning,Bachelors,"$50,500","$89,200",53%
351,352,Aviation Technology,Bachelors,"$58,100","$89,100",49%
352,352,Environmental Health,Bachelors,"$50,000","$89,100",65%
353,354,Agricultural Science,Bachelors,"$48,900","$88,900",59%
354,354,Agronomy,Bachelors,"$50,200","$88,900",65%
355,354,International Studies,Bachelors,"$50,000","$88,900",51%
356,357,Design,Bachelors,"$52,800","$88,800",40%
357,358,Applied Science,Bachelors,"$46,400","$88,700",-
358,358,Architectural Engineering Technology,Bachelors,"$52,200","$88,700",59%
359,358,German Language,Bachelors,"$50,700","$88,700",41%
360,361,Technology,Bachelors,"$56,200","$88,600",64%
361,362,Advertising & Promotion,Bachelors,"$46,100","$88,500",46%
362,363,Pre-law,Bachelors,"$46,800","$88,400",45%
363,364,Digital Media,Bachelors,"$47,300","$88,200",38%
364,365,Biological Anthropology,Bachelors,"$46,200","$88,100",49%
365,365,Personal Financial Planning,Bachelors,"$53,800","$88,100",60%
366,367,Professional Pilot Education,Bachelors,"$63,700","$88,000",-
367,367,Textile Technology,Bachelors,"$54,000","$88,000",42%
368,367,Web & Digital Media Development,Bachelors,"$52,300","$88,000",33%
369,370,Entrepreneurial Studies,Bachelors,"$48,700","$87,900",37%
370,371,Fashion Design,Bachelors,"$47,500","$87,700",27%
371,372,Retailing,Bachelors,"$51,300","$87,600",35%
372,373,Business Communication,Bachelors,"$50,900","$87,300",47%
373,373,Environmental Science,Bachelors,"$49,100","$87,300",59%
374,375,Product Design Engineering,Bachelors,"$65,500","$87,200",35%
375,376,English Literature,Bachelors,"$47,700","$87,000",45%
376,376,Logistics,Bachelors,"$57,600","$87,000",41%
377,378,Math & Science,Bachelors,"$55,600","$86,900",66%
378,379,International Trade & Business,Bachelors,"$54,800","$86,800",27%
